,小市值策略回报,市场平均回报,下月中证500回报,下月沪深300回报,下月上证50回报,小市值策略所选股票
2007-04-30,0.1077995,0.09578742277825696,0.093269,0.10375799999999999,0.066192,600136|600444|600513|600706|600847|000004|000008|000555|000669|000979
2007-05-31,-0.215822,-0.14255219250253293,-0.159871,-0.04172,-0.008329999999999999,600444|600647|600706|600711|600847|000004|000008|000555|000639|000669
2007-06-29,0.3045338999999999,0.24140274670184642,0.228169,0.18503499999999998,0.163236,600419|600444|600593|600706|600711|600847|000004|000008|000669|000979
2007-07-31,0.18666439999999998,0.12576955030959747,0.112193,0.187476,0.22356700000000002,600419|600444|600706|600847|000004|000008|000555|000639|000669|000979
2007-08-31,0.05708240000000001,0.03743056422018352,0.03798,0.053617,0.03789,600419|600513|600706|600847|000004|000008|000018|000555|000639|000669
2007-09-28,-0.0968395,-0.10103899466869774,-0.10493800000000002,0.019303999999999998,0.074374,600419|600455|600847|000004|000008|000018|000526|000555|000639|002058
2007-10-31,0.0655357,-0.0716673682564504,-0.093898,-0.167202,-0.161511,600419|600691|600706|600847|000008|000526|000555|000639|000669|002058
2007-11-30,0.1552101,0.2033230844444445,0.200021,0.126835,0.089275,600419|600455|600513|600706|000004|000008|000526|000555|000669|002058
2007-12-28,0.0343119,-0.006303672413793109,-0.05744,-0.13447699999999999,-0.172433,600241|600444|600793|600980|600988|000603|000639|000719|002012|002192
2008-01-31,0.0959315,0.08508449476047893,0.084531,0.01172,-0.007809999999999999,600419|600455|600562|600706|600847|000004|000008|000018|000555|000669
2008-02-29,-0.16540189999999996,-0.1968446165467629,-0.20039500000000002,-0.189113,-0.186316,600419|600647|600706|600847|000004|000008|000018|000555|000669|002058
2008-03-31,-0.07287700000000001,-0.0436578764044944,-0.034845999999999995,0.044476,0.10678499999999999,600234|600419|600455|600647|600706|600847|000004|000008|000669|002058
2008-04-30,-0.0317212,-0.030716945306725783,-0.037801999999999995,-0.087845,-0.1039,600234|600419|600647|600706|600847|000004|000008|000018|000669|002058
2008-05-30,-0.2241863,-0.24737114985590747,-0.250801,-0.22692800000000002,-0.223216,600234|600647|600706|600847|000004|000008|000526|000669|002034|002058
2008-06-30,0.1067177,0.09163454333576106,0.072325,0.004797,-0.0053,600234|600419|600706|600817|600892|000004|000008|000018|000526|000669
2008-07-31,-0.17043149999999999,-0.22512348441734403,-0.23533600000000002,-0.147429,-0.087163,600234|600419|600706|600817|600892|000004|000008|000018|000526|000669
2008-08-29,-0.10723760000000002,-0.08105794973190367,-0.074185,-0.061875,-0.083077,600234|600593|600706|600817|600892|000004|000008|000526|000555|002034
2008-09-26,-0.1031585,-0.12857025,-0.268717,-0.25850500000000004,-0.267004,600184|600223|600401|600419|600714|000656|000738|000935|002021|002039
2008-10-31,0.2054265,0.19723487741505694,0.17888900000000002,0.099939,0.06286,600136|600234|600419|600455|600647|600706|600817|600892|000004|000555
2008-11-28,0.18837410000000002,0.0792258708791208,0.05321,-0.006668,-0.018602,600136|600234|600419|600455|600706|600711|600817|000004|000008|000555
2008-12-31,0.1748879,0.1598312414715719,0.153988,0.11825799999999999,0.11073499999999999,600136|600234|600385|600419|600562|600706|600817|000004|000008|000555
2009-01-23,0.24054530000000002,0.2625854705882353,0.07992,0.053037,0.034933,600242|600421|600455|600538|600885|000035|000534|000681|000979|000981
2009-02-27,0.3036542,0.22164582947019856,0.20570500000000003,0.171596,0.14966600000000002,600234|600385|600419|600706|600817|600988|000004|000008|000018|000555
2009-03-31,0.08551439999999999,0.06860836806495266,0.059052999999999994,0.045912,0.035743000000000004,600234|600419|600562|600706|600817|000004|000008|000018|000555|002034
2009-04-30,0.0664622,0.07078067052416608,0.061736,0.05215,0.050425,600385|600419|600617|600706|000004|000008|000018|000035|000555|002034
2009-05-27,0.1395947,0.09323676543209879,0.053564,0.147393,0.195657,600340|600506|600593|600691|600753|000023|000716|000995|002034|002113
2009-06-30,0.18627239999999995,0.14972065557065226,0.137974,0.179426,0.18312,600385|600419|600617|600711|600817|600892|000004|000008|000018|000555
