code,date,type,递延所得税资产,递延所得税负债,优先股账面值,所有者权益合计,book_equity
000025,2014-12-31,A,25678449.05,723459.18,0.0,202330360.09,177375370.22
000025,2015-12-31,A,24488443.31,478085.12,0.0,878588403.64,854578045.45
000025,2016-12-31,A,24448797.86,232711.06,0.0,908536336.18,884320249.3799999
000025,2017-12-31,A,24394028.91,0.0,0.0,998023573.89,973629544.98
000025,2018-12-31,A,24355086.71,0.0,0.0,1099282215.87,1074927129.1599998
000025,2019-12-31,A,8658962.39,0.0,0.0,1339212996.79,1330554034.3999999
000026,2006-12-31,A,0.0,0.0,0.0,570214511.48,570214511.48
000026,2007-12-31,A,9195482.95,2577823.14,0.0,650592756.77,643975096.9599999
000026,2008-12-31,A,10717647.17,371774.7,0.0,679492736.7,669146864.2300001
000026,2009-12-31,A,12725248.99,106989.94,0.0,735219525.07,722601266.0200001
000026,2010-12-31,A,20316790.34,131259.28,0.0,1287565949.23,1267380418.17
000026,2011-12-31,A,46250916.43,128393.19,0.0,1393755057.6,1347632534.36
000026,2012-12-31,A,61339687.61,0.0,0.0,1449085223.07,1387745535.46
000026,2013-12-31,A,74159134.29,0.0,0.0,1538819591.75,1464660457.46
000026,2014-12-31,A,90669076.1,0.0,0.0,1636480287.23,1545811211.13
000026,2015-12-31,A,105901723.16,0.0,0.0,2302830324.64,2196928601.48
000026,2016-12-31,A,95179575.26,0.0,0.0,2374948189.73,2279768614.47
000026,2017-12-31,A,105905944.8,0.0,0.0,2467972876.98,2362066932.18
000026,2018-12-31,A,100675706.09,0.0,0.0,2570140564.54,2469464858.45
000026,2019-12-31,A,83739383.37,1256242.49,0.0,2654539677.83,2572056536.95
000026,2020-12-31,A,80913800.35,3067834.55,0.0,2799960671.43,2722114705.63
000027,2006-12-31,A,0.0,0.0,0.0,8192300151.26,8192300151.26
000027,2007-12-31,A,61219477.87,81467847.57,0.0,13774881363.97,13795129733.669998
000027,2008-12-31,A,122535348.45,9350452.39,0.0,13679329912.88,13566145016.819998
000027,2009-12-31,A,139478231.16,0.0,0.0,15684513409.27,15545035178.11
000027,2010-12-31,A,172958651.51,0.0,0.0,16415172678.12,16242214026.61
000027,2011-12-31,A,251344444.93,0.0,0.0,16920957321.36,16669612876.43
000027,2012-12-31,A,217868106.65,0.0,0.0,17548851230.79,17330983124.14
000027,2013-12-31,A,208738846.29,0.0,0.0,18839452288.67,18630713442.379997
000027,2014-12-31,A,200845552.73,0.0,0.0,20354585148.25,20153739595.52
000027,2015-12-31,A,164834292.86,1030295759.71,0.0,24867872869.23,25733334336.079998
000027,2016-12-31,A,237709693.12,840451375.69,0.0,24827658558.19,25430400240.76
000027,2017-12-31,A,395425153.8,914435770.98,0.0,24722596959.28,25241607576.46
000027,2018-12-31,A,315441919.63,850368745.23,0.0,27483645870.76,28018572696.359997
000027,2019-12-31,A,323713617.82,1387185880.78,0.0,33584853159.01,34648325421.97
000028,2006-12-31,A,0.0,0.0,0.0,472901413.82,472901413.82
000028,2007-12-31,A,13675921.06,13071193.57,0.0,517577149.4,516972421.90999997
000028,2008-12-31,A,7869895.86,12174180.87,0.0,649370176.36,653674461.37
000028,2009-12-31,A,12871196.24,25525421.76,0.0,878131101.42,890785326.9399999
000028,2010-12-31,A,31083592.24,22709093.7,0.0,1131445361.14,1123070862.6000001
000028,2011-12-31,A,44070064.25,19900787.3,0.0,1426800643.27,1402631366.32
000028,2012-12-31,A,49509529.97,26619273.68,0.0,1839051212.2,1816160955.91
000028,2013-12-31,A,68895938.25,24644887.76,0.0,2316637064.57,2272386014.0800004
000028,2014-12-31,A,85146479.5,24297076.57,0.0,4851215436.65,4790366033.719999
000028,2015-12-31,A,88210062.44,22647074.06,0.0,5566474957.27,5500911968.890001
000028,2016-12-31,A,72914722.3,76535704.01,0.0,8913983534.11,8917604515.820002
000028,2017-12-31,A,79472883.06,71883253.02,0.0,9927502757.14,9919913127.1
000028,2018-12-31,A,74914209.95,67605161.88,0.0,13905776493.05,13898467444.979998
000028,2019-12-31,A,60631015.99,83717486.28,0.0,15359837840.23,15382924310.52
000028,2020-12-31,A,92118767.81,205921408.66,0.0,16888627319.52,17002429960.37
000029,2006-12-31,A,0.0,0.0,0.0,1076507929.0,1076507929.0
000029,2007-12-31,A,22429645.26,0.0,0.0,1181371902.29,1158942257.03
000029,2008-12-31,A,18479988.82,0.0,0.0,1197127374.36,1178647385.54
